,energies,fluxes,errors,date,inst,spec_type
0,4.35,31792590.0,30693.86,28-10-2021,SolO-STEP,peak_flux
1,4.65,28332168.0,24215.549,28-10-2021,SolO-STEP,peak_flux
2,5.05,22351084.0,18436.021,28-10-2021,SolO-STEP,peak_flux
3,5.45,15366987.0,13677.365,28-10-2021,SolO-STEP,peak_flux
4,5.95,9410620.0,7865.359,28-10-2021,SolO-STEP,peak_flux
5,6.5,7841086.0,6030.5938,28-10-2021,SolO-STEP,peak_flux
6,7.05,6358579.5,5438.492,28-10-2021,SolO-STEP,peak_flux
7,7.6,6631229.5,5431.419,28-10-2021,SolO-STEP,peak_flux
8,8.3,5333453.0,5786.999,28-10-2021,SolO-STEP,peak_flux
9,9.05,5505196.5,4847.702,28-10-2021,SolO-STEP,peak_flux
10,9.850000000000001,4223251.5,4788.8438,28-10-2021,SolO-STEP,peak_flux
11,10.75,3851629.2,3486.2983,28-10-2021,SolO-STEP,peak_flux
12,11.7,3028073.2,2361.794,28-10-2021,SolO-STEP,peak_flux
13,12.75,3208799.2,2120.0378,28-10-2021,SolO-STEP,peak_flux
14,13.899999999999999,2852121.2,2043.9114,28-10-2021,SolO-STEP,peak_flux
15,15.1,2624125.8,1968.1741,28-10-2021,SolO-STEP,peak_flux
16,16.45,2297113.0,1892.0771,28-10-2021,SolO-STEP,peak_flux
17,17.950000000000003,2264154.2,1628.9207,28-10-2021,SolO-STEP,peak_flux
18,19.550000000000004,2008410.2,1598.8801,28-10-2021,SolO-STEP,peak_flux
19,21.35,1793792.6,1421.7793,28-10-2021,SolO-STEP,peak_flux
20,23.299999999999997,1441668.8,1326.3856,28-10-2021,SolO-STEP,peak_flux
21,25.4,1237866.9,1235.9486,28-10-2021,SolO-STEP,peak_flux
22,27.65,1215672.1,1164.9993,28-10-2021,SolO-STEP,peak_flux
23,30.1,1052995.8,1061.0382,28-10-2021,SolO-STEP,peak_flux
24,32.849999999999994,1002122.3,1026.8418,28-10-2021,SolO-STEP,peak_flux
25,35.85,762409.25,939.91125,28-10-2021,SolO-STEP,peak_flux
26,39.050000000000004,672302.56,888.8793,28-10-2021,SolO-STEP,peak_flux
27,42.650000000000006,674785.5,807.02576,28-10-2021,SolO-STEP,peak_flux
28,46.599999999999994,543068.7,749.07983,28-10-2021,SolO-STEP,peak_flux
29,50.8,602258.44,710.83606,28-10-2021,SolO-STEP,peak_flux
30,55.3,405769.12,681.85974,28-10-2021,SolO-STEP,peak_flux
31,60.150000000000006,463108.53,604.844,28-10-2021,SolO-STEP,peak_flux
