,energies,fluxes,errors,date,inst,spec_type

0,4.35,27978568.0,815815.75,14-03-2022,SolO-STEP,peak_flux

1,4.65,19006950.0,669950.5,14-03-2022,SolO-STEP,peak_flux

2,5.05,19090752.0,492140.38,14-03-2022,SolO-STEP,peak_flux

3,5.45,10550662.0,338003.97,14-03-2022,SolO-STEP,peak_flux

4,5.95,6257196.0,181311.34,14-03-2022,SolO-STEP,peak_flux

5,6.5,4070639.2,127770.87,14-03-2022,SolO-STEP,peak_flux

6,7.05,3139744.2,103771.52,14-03-2022,SolO-STEP,peak_flux

7,7.6,2577024.0,83692.77,14-03-2022,SolO-STEP,peak_flux

8,8.3,2216270.2,65957.805,14-03-2022,SolO-STEP,peak_flux

9,9.05,2056979.0,54121.14,14-03-2022,SolO-STEP,peak_flux

10,9.850000000000001,1734037.9,43934.426,14-03-2022,SolO-STEP,peak_flux

11,10.75,1489360.9,34402.555,14-03-2022,SolO-STEP,peak_flux

12,11.7,1042720.06,27419.291,14-03-2022,SolO-STEP,peak_flux

13,12.75,1003109.9,23147.543,14-03-2022,SolO-STEP,peak_flux

14,13.899999999999999,784015.4,19576.19,14-03-2022,SolO-STEP,peak_flux

15,15.1,654991.6,16748.686,14-03-2022,SolO-STEP,peak_flux

16,16.45,592473.4,13802.138,14-03-2022,SolO-STEP,peak_flux

17,17.950000000000003,561439.1,11134.301,14-03-2022,SolO-STEP,peak_flux

18,19.550000000000004,370379.7,9046.644,14-03-2022,SolO-STEP,peak_flux

19,21.35,382833.2,6991.4478,14-03-2022,SolO-STEP,peak_flux

20,23.299999999999997,238279.4,5534.542,14-03-2022,SolO-STEP,peak_flux

21,25.4,222931.03,4573.2603,14-03-2022,SolO-STEP,peak_flux

22,27.65,263028.5,3766.709,14-03-2022,SolO-STEP,peak_flux

23,30.1,190709.19,3095.5476,14-03-2022,SolO-STEP,peak_flux

24,32.849999999999994,124441.91,2515.2905,14-03-2022,SolO-STEP,peak_flux

25,35.85,119977.55,2123.5217,14-03-2022,SolO-STEP,peak_flux

26,39.050000000000004,111430.66,1853.3735,14-03-2022,SolO-STEP,peak_flux

27,42.650000000000006,96318.734,1519.3179,14-03-2022,SolO-STEP,peak_flux

28,46.599999999999994,90392.58,1357.5332,14-03-2022,SolO-STEP,peak_flux

29,50.8,85966.42,1194.8019,14-03-2022,SolO-STEP,peak_flux

30,55.3,81000.414,1068.337,14-03-2022,SolO-STEP,peak_flux

31,60.150000000000006,97269.055,929.8997,14-03-2022,SolO-STEP,peak_flux

